,timestamps,dc_power,capacity_factor
2024-01-01 00:00:00,2017-01-01 00:00:00+00:00,0.0,0.0
2024-01-01 01:00:00,2017-01-01 01:00:00+00:00,0.0,0.0
2024-01-01 02:00:00,2017-01-01 02:00:00+00:00,0.0,0.0
2024-01-01 03:00:00,2017-01-01 03:00:00+00:00,0.0,0.0
2024-01-01 04:00:00,2017-01-01 04:00:00+00:00,0.0,0.0
2024-01-01 05:00:00,2017-01-01 05:00:00+00:00,0.0,0.0
2024-01-01 06:00:00,2017-01-01 06:00:00+00:00,0.0,0.0
2024-01-01 07:00:00,2017-01-01 07:00:00+00:00,0.0,0.0
2024-01-01 08:00:00,2017-01-01 08:00:00+00:00,42.533,0.194
2024-01-01 09:00:00,2017-01-01 09:00:00+00:00,76.959,0.35
2024-01-01 10:00:00,2017-01-01 10:00:00+00:00,27.853,0.127
2024-01-01 11:00:00,2017-01-01 11:00:00+00:00,0.0,0.0
2024-01-01 12:00:00,2017-01-01 12:00:00+00:00,0.0,0.0
2024-01-01 13:00:00,2017-01-01 13:00:00+00:00,0.0,0.0
2024-01-01 14:00:00,2017-01-01 14:00:00+00:00,0.0,0.0
2024-01-01 15:00:00,2017-01-01 15:00:00+00:00,0.0,0.0
2024-01-01 16:00:00,2017-01-01 16:00:00+00:00,0.0,0.0
2024-01-01 17:00:00,2017-01-01 17:00:00+00:00,0.0,0.0
2024-01-01 18:00:00,2017-01-01 18:00:00+00:00,0.0,0.0
2024-01-01 19:00:00,2017-01-01 19:00:00+00:00,0.0,0.0
2024-01-01 20:00:00,2017-01-01 20:00:00+00:00,0.0,0.0
2024-01-01 21:00:00,2017-01-01 21:00:00+00:00,0.0,0.0
2024-01-01 22:00:00,2017-01-01 22:00:00+00:00,0.0,0.0
2024-01-01 23:00:00,2017-01-01 23:00:00+00:00,0.0,0.0
2024-01-02 00:00:00,2017-01-02 00:00:00+00:00,0.0,0.0
2024-01-02 01:00:00,2017-01-02 01:00:00+00:00,0.0,0.0
2024-01-02 02:00:00,2017-01-02 02:00:00+00:00,0.0,0.0
2024-01-02 03:00:00,2017-01-02 03:00:00+00:00,0.0,0.0
2024-01-02 04:00:00,2017-01-02 04:00:00+00:00,0.0,0.0
2024-01-02 05:00:00,2017-01-02 05:00:00+00:00,0.0,0.0
2024-01-02 06:00:00,2017-01-02 06:00:00+00:00,0.0,0.0
2024-01-02 07:00:00,2017-01-02 07:00:00+00:00,0.0,0.0
2024-01-02 08:00:00,2017-01-02 08:00:00+00:00,0.0,0.0
2024-01-02 09:00:00,2017-01-02 09:00:00+00:00,22.639,0.103
2024-01-02 10:00:00,2017-01-02 10:00:00+00:00,0.0,0.0
2024-01-02 11:00:00,2017-01-02 11:00:00+00:00,0.0,0.0
2024-01-02 12:00:00,2017-01-02 12:00:00+00:00,0.0,0.0
2024-01-02 13:00:00,2017-01-02 13:00:00+00:00,0.0,0.0
2024-01-02 14:00:00,2017-01-02 14:00:00+00:00,0.287,0.001
2024-01-02 15:00:00,2017-01-02 15:00:00+00:00,0.0,0.0
2024-01-02 16:00:00,2017-01-02 16:00:00+00:00,0.0,0.0
2024-01-02 17:00:00,2017-01-02 17:00:00+00:00,0.0,0.0
2024-01-02 18:00:00,2017-01-02 18:00:00+00:00,0.0,0.0
2024-01-02 19:00:00,2017-01-02 19:00:00+00:00,0.0,0.0
2024-01-02 20:00:00,2017-01-02 20:00:00+00:00,0.0,0.0
2024-01-02 21:00:00,2017-01-02 21:00:00+00:00,0.0,0.0
2024-01-02 22:00:00,2017-01-02 22:00:00+00:00,0.0,0.0
2024-01-02 23:00:00,2017-01-02 23:00:00+00:00,0.0,0.0
2024-01-03 00:00:00,2017-01-03 00:00:00+00:00,0.0,0.0
2024-01-03 01:00:00,2017-01-03 01:00:00+00:00,0.0,0.0
2024-01-03 02:00:00,2017-01-03 02:00:00+00:00,0.0,0.0
2024-01-03 03:00:00,2017-01-03 03:00:00+00:00,0.0,0.0
2024-01-03 04:00:00,2017-01-03 04:00:00+00:00,0.0,0.0
2024-01-03 05:00:00,2017-01-03 05:00:00+00:00,0.0,0.0
2024-01-03 06:00:00,2017-01-03 06:00:00+00:00,0.0,0.0
2024-01-03 07:00:00,2017-01-03 07:00:00+00:00,0.0,0.0
2024-01-03 08:00:00,2017-01-03 08:00:00+00:00,7.699,0.035
2024-01-03 09:00:00,2017-01-03 09:00:00+00:00,0.0,0.0
2024-01-03 10:00:00,2017-01-03 10:00:00+00:00,0.234,0.001
2024-01-03 11:00:00,2017-01-03 11:00:00+00:00,9.401,0.043
2024-01-03 12:00:00,2017-01-03 12:00:00+00:00,0.843,0.004
2024-01-03 13:00:00,2017-01-03 13:00:00+00:00,0.612,0.003
2024-01-03 14:00:00,2017-01-03 14:00:00+00:00,0.602,0.003
2024-01-03 15:00:00,2017-01-03 15:00:00+00:00,0.0,0.0
2024-01-03 16:00:00,2017-01-03 16:00:00+00:00,0.0,0.0
